5대범죄	5대범죄현황	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018
5대범죄	5대범죄현황	합계	종로구	중구	용산구	성동구	광진구	동대문구	중랑구	성북구	강북구	도봉구	노원구	은평구	서대문구	마포구	양천구	강서구	구로구	금천구	영등포구	동작구	관악구	서초구	강남구	송파구	강동구
합계	발생	101,948	3,690	4,030	3,411	2,457	3,915	3,680	4,288	3,042	3,437	2,249	4,007	3,590	2,802	5,172	3,515	4,629	4,810	3,293	5,840	3,100	5,026	4,726	7,513	5,807	3,919
합계	검거	74,487	3,913	2,679	2,543	1,787	2,789	2,968	3,222	2,277	2,743	1,676	2,725	2,863	2,016	3,569	2,459	3,469	3,338	2,567	3,922	2,090	3,653	3,183	5,196	4,051	2,789
살인	발생	143	6	2	1	2	7	2	4	7	8	1	5	8	5	6	2	11	8	6	17	3	9	5	10	5	3
살인	검거	139	7	2	1	2	5	2	5	6	6	1	4	8	4	6	3	9	8	6	15	3	9	5	13	6	3
강도	발생	143	3	11	3	5	2	5	3	1	7	5	5	1	3	6	4	6	9	7	8	7	10	5	14	6	7
강도	검거	151	7	11	2	8	1	4	3	2	7	3	5	1	3	7	14	3	9	6	6	7	12	5	10	8	7
강간강제추행	발생	6,412	236	207	331	126	229	145	174	183	188	113	194	188	206	473	120	269	250	200	391	288	352	470	600	309	170
강간강제추행	검거	6,046	1,100	115	285	102	184	112	145	140	135	117	173	169	189	396	111	246	181	185	267	154	305	315	523	254	143
절도	발생	39,175	1,483	1,855	1,096	999	1,769	1,447	1,526	1,164	1,112	781	1,422	1,278	1,062	2,011	1,384	1,724	1,717	1,168	2,292	1,151	2,012	1,851	3,004	2,352	1,515
절도	검거	19,762	969	832	522	487	974	930	876	635	603	431	585	816	585	882	646	982	787	645	1,064	532	1,025	838	1,317	1,034	765
폭력	발생	56,075	1,962	1,955	1,980	1,325	1,908	2,081	2,581	1,687	2,122	1,349	2,381	2,115	1,526	2,676	2,005	2,619	2,826	1,912	3,132	1,651	2,643	2,395	3,885	3,135	2,224
폭력	검거	48,389	1,830	1,719	1,733	1,188	1,625	1,920	2,193	1,494	1,992	1,124	1,958	1,869	1,235	2,278	1,685	2,229	2,353	1,725	2,570	1,394	2,302	2,020	3,333	2,749	1,871
