"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"울산광역시 중구",울산광역시 중구 강정길 56 (광진주차장 인근),울산광역시 중구 우정동 13-2 광진주차장 인근,생활방범,1,130,360°(전방향),30,2018-06,052-290-3203,35.564131,129.313146,2020-03-13
"울산광역시 중구",울산광역시 중구 계변로 93 (성신고뒤편),울산광역시 중구 복산동 399-9 성신고뒤편,생활방범,1,130,360°(전방향),30,2018-11,052-290-3203,35.563652,129.325667,2020-03-13
"울산광역시 중구",울산광역시 중구 고복수1길 24 (꼬마성어린이집),울산광역시 중구 서동 276-1꼬마성어린이집,생활방범,2,200,360°(전방향),30,2018-06,052-290-3203,35.571825,129.348988,2020-03-13
"울산광역시 중구",울산광역시 중구 고복수1길 29 (병영초 정문),울산광역시 중구 서동 295-11 병영초 정문,생활방범,4,200,360°(전방향),30,2018-06,052-290-3203,35.573272,129.345896,2020-03-13
"울산광역시 중구",울산광역시 중구 고복수1길 (세화매일유통건너편 제니유치원),울산광역시 중구 서동 463-1 세화매일유통건너편 제니유치원,어린이보호,1,130,360°(전방향),30,2018-01,052-290-3203,35.578978,129.345437,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남10길 19 (주택앞),울산광역시 중구 남외동 30-1 주택앞,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.573714,129.340881,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남10길 43 (무지개복층빌라),울산광역시 중구 남외동 50-3 무지개복층빌라,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.573958,129.342512,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남11안길 27 평화아파트인근,울산광역시 중구 남외동 43-1 평화아파트인근,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.574809,129.341262,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남13길 5 선우시장 화장실앞,울산광역시 중구 남외동 401-3 선우시장 화장실앞,생활방범,2,130,360°(전방향),30,2018-12,052-290-3203,35.576957,129.342043,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남16길5 막창골목앞,울산광역시 중구 남외동 344-12 막창골목앞,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.569664,129.343241,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남17길14 주택앞 벧엘중탕옆,울산광역시 중구 남외동 325-7 주택앞 벧엘중탕옆,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.570134,129.344173,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남18길20 창조빌라앞,울산광역시 중구 남외동 325-5 창조빌라앞,생활방범,1,200,360°(전방향),30,2018-11,052-290-3203,35.569902,129.343998,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남4안길 18 병영성당앞,울산광역시 중구 남외동85 병영성당앞,생활방범,1,130,360°(전방향),30,2018-05,052-290-3203,35.571763,129.343906,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남4안길8 캐슬빌사거리,울산광역시 중구 남외동 330캐슬빌사거리,생활방범,2,200,360°(전방향),30,2018-12,052-290-3203,35.571307,129.344514,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남5길22 선우시장내 해강온누리약국앞,울산광역시 중구 남외동 389-12 선우시장내 해강온누리약국앞,생활방범,2,130,360°(전방향),30,2018-11,052-290-3203,35.570871,129.341912,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남6길25 선우시장,울산광역시 중구 남외동 383-2 선우시장,생활방범,1,130,360°(전방향),30,2018-01,052-290-3203,35.571728,129.341684,2020-03-13
"울산광역시 중구",울산광역시 중구 곽남7길49 혜인특수학교,울산광역시 중구 남외동 21-2 혜인특수학교,어린이보호,1,130,360°(전방향),30,2018-01,052-290-3203,35.574417,129.339022,2020-03-13
